id,title,url,industry,location,asking_price,asking_price_text,annual_cash_flow,annual_revenue,employees,down_10,sba_monthly_10pct,annual_debt_service_10pct,cf_after_debt_10pct,coc_return_10pct,dscr_10pct,payoff_years_10pct,down_20,sba_monthly_20pct,annual_debt_service_20pct,cf_after_debt_20pct,coc_return_20pct,dscr_20pct,payoff_years_20pct,seller_note_amount,seller_note_monthly,seller_note_annual,cf_during_standby,cf_after_seller_financing,dscr_seller_financed,score,bucket,absentee,reasons,is_trades,years_in_business,is_franchise,reason_for_selling,sba_available,listing_agent,narrative,description,dim_ai_proof,dim_fun,dim_weather,dim_labor,dim_recurring,dim_absentee,dim_capital_light,dim_scalable,last_seen,is_active,source,has_pdf
1960430,Lake of the Woods Resort,https://www.sunbeltmidwest.com/complete-search-listing/?id_number=1960430,Real Estate,Minnesota,,,378500.0,1264000.0,18,,,,,,,,,,,,,,,,,,,,,42,REVIEW,No,"strong CF $378,500; 18 employees; no heavy inventory; Twin Cities area",False,20+ years,,Moving closer to family,Yes,Wes Winnekins,"Lake of the Woods Resort (Real Estate) in Minnesota is listed at an undisclosed price with $378,500 in annual cash flow (SDE) and $1,264,000 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $378,500 is strong and well above our preferred threshold; SBA financing is available, lowering the capital barrier to entry. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner; asking price is not disclosed — makes valuation comparison difficult. Bottom line: Marginal fit (score 42/100). Proceed only if something specific about this deal appeals beyond the numbers.","Large year-round resort with multiple revenue streams: cabin rentals, campground, food & beverage, summer charters, ice fishing house rental, ice roads, and guide service. Sunbelt Listing ID: 1960430 &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",2,3,2,1,1,1,2,2,2026-04-06T18:40:34.589472,True,sunbelt,False
1960488,Zippel Bay Resort,https://www.sunbeltmidwest.com/complete-search-listing/?id_number=1960488,Real Estate,Minnesota,7750000.0,"$7,750,000",760206.0,3087627.0,,775000.0,92175.14,1106101.68,-345895.68,-0.4463,0.69,,1550000.0,81933.46,983201.52,-222995.52,-0.1439,0.77,,775000.0,14982.92,179795.04,-345895.68,-525690.72,0.59,0,AUTO-REJECT,No,"over max price $7,750,000",False,20+ years,No,Retirement,Yes,Wes Winnekins,"Zippel Bay Resort (Real Estate) in Minnesota is listed at $7,750,000 with $760,206 in annual cash flow (SDE) and $3,087,627 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $760,206 is strong and well above our preferred threshold; SBA financing is available, lowering the capital barrier to entry. Watch-outs: DSCR of 0.77x at 20% down is thin — leaves little cushion if revenue dips; cash-on-cash return of -14% is below our 15% target; only $-222,996 remains after SBA debt at 20% down — limited owner salary buffer; no absentee signals — likely owner-operated and may be dependent on the current owner; seller is retiring — transition plan and key-person risk should be investigated. Bottom line: Auto-rejected — does not meet baseline criteria.","Fishing Paradise: With direct access to one of North America's premier freshwater fisheries, anglers will delight in the chance to reel in trophy-sized walleye, muskie, northern pike, and more. The resort's private docks and guided fishing excursions ensure unforgettable experiences for fishing enthusiasts of all levels. Top Notch Accommodations: Guests can unwind in comfort and style within the range of meticulously appointed cabins and lodges, each offering modern amenities and rustic charm. From cozy retreats for couples to spacious lodgings for large groups, there's a perfect accommodation option for every guest. Lakeside Dining: A full bar restaurant anchors the services offered by this incredible resort operation. Guests staying at the resort enjoy the convenience of on-site dining as well as guests from other parts of the lake who come to the resort to visit. Recreational Activities: Beyond fishing, guests can explore a myriad of recreational activities, including boating, kayaking, paddleboarding, and hiking. Sunbelt Listing ID: 1960488 &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",2,3,3,1,1,1,1,2,2026-04-06T18:40:34.589511,True,sunbelt,False
54498,"Landscaping, Lawn/Snow Maintenance Business--$410K Cash Flow -$230k Down Buys Business and Real Estate 30+ years in business",https://www.sunbeltmidwest.com/complete-search-listing/?id_number=54498,Service,Minnesota,1500000.0,"$1,500,000",416254.0,1767963.0,14,150000.0,17840.35,214084.2,202169.8,1.3478,1.94,0.74,300000.0,15858.09,190297.08,225956.92,0.7532,2.19,1.33,150000.0,2899.92,34799.04,202169.8,167370.76,1.67,72,SHORTLIST,No,"strong CF $416,254; DSCR 2.19; CoC 75%; 14 employees; no heavy inventory; durable industry; Twin Cities area",True,20+ years,No,Relinquish ownership duties,Yes,Tom Boyd & Bob Harris,"Landscaping, Lawn/Snow Maintenance Business--$410K Cash Flow -$230k Down Buys Business and Real Estate 30+ years in business (Service) in Minnesota is listed at $1,500,000 with $416,254 in annual cash flow (SDE) and $1,767,963 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $416,254 is strong and well above our preferred threshold; DSCR of 2.19x at 20% down is comfortable — well above the SBA minimum; cash-on-cash return of 75% at 20% down is excellent; the service is considered recession-resistant; SBA financing is available, lowering the capital barrier to entry. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner. Bottom line: Strong candidate (score 72/100). Worth requesting financials and scheduling a broker call.","Complete outdoor service company located 1 hour outside of the metro area, specializing in landscape construction, lawn maintenance, and snow removal. The current owners are looking for a new owner to take the business to the next level and are willing to stay on for an extended period. SBA financing is available for qualified buyers. Interested buyers should have approximately $231,800 in available capital for the down payment. &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",3,2,1,3,1,1,2,2,2026-04-06T18:40:34.589533,True,sunbelt,False
54787,"Prime Commercial Real Estate Downtown Ely, MN",https://www.sunbeltmidwest.com/complete-search-listing/?id_number=54787,Real Estate,Minnesota,,,,21000.0,,,,,,,,,,,,,,,,,,,,,,0,AUTO-REJECT,No,missing financials,,20+ years,,Retirement,,Nick Dunnom,,,2,2,2,1,1,1,2,2,2026-02-14T20:33:43.163630,False,,False
55013,"Highly Profitable HVAC Contractor with nearly $400,000 of Cash Flow!",https://www.sunbeltmidwest.com/complete-search-listing/?id_number=55013,Service,Minnesota,1000000.0,"$1,000,000",386429.0,1532891.0,6,100000.0,11893.57,142722.84,243706.16,2.4371,2.71,0.41,200000.0,10572.06,126864.72,259564.28,1.2978,3.05,0.77,100000.0,1933.28,23199.36,243706.16,220506.8,2.33,72,SHORTLIST,No,"strong CF $386,429; DSCR 3.05; CoC 130%; 6 employees; no heavy inventory; durable industry; Twin Cities area",True,20+ years,,Retirement,Yes,Wes Winnekins,"Highly Profitable HVAC Contractor with nearly $400,000 of Cash Flow! (Service) in Minnesota is listed at $1,000,000 with $386,429 in annual cash flow (SDE) and $1,532,891 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $386,429 is strong and well above our preferred threshold; DSCR of 3.05x at 20% down is comfortable — well above the SBA minimum; cash-on-cash return of 130% at 20% down is excellent; the service is considered recession-resistant; small team of 6 keeps operations lean and manageable; SBA financing is available, lowering the capital barrier to entry. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner; seller is retiring — transition plan and key-person risk should be investigated. Bottom line: Strong candidate (score 72/100). Worth requesting financials and scheduling a broker call.","For over 20 years, this HVAC Contractor has been providing top quality and reliable plumbing, heating and air conditioning repair and replacement to both residential and commercial customers. Revenues of $1.5 million with cash flow of $386,000 in 2023! Sunbelt Listing ID: 55013 Interested buyers must be able to demonstrate minimum available capital of $105,800 &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",3,2,3,3,1,1,2,1,2026-04-06T18:40:34.589552,True,sunbelt,False
55208,Central Minnesota Meat Processor and Retailer for Sale!  Asking $750k Including Real Estate!  Revenue: $735k with Seller Financing Available!,https://www.sunbeltmidwest.com/complete-search-listing/?id_number=55208,Retail,Minnesota,200000.0,"$200,000",83684.0,735206.0,10,20000.0,2378.71,28544.52,55139.48,2.757,2.93,0.36,40000.0,2114.41,25372.92,58311.08,1.4578,3.3,0.69,20000.0,386.66,4639.92,55139.48,50499.56,2.52,47,REVIEW,No,"modest CF $83,684; DSCR 3.30; CoC 146%; 10 employees; no heavy inventory; Twin Cities area",False,20+ years,,Retirement,,Steve Lee & Tony Bodway,"Central Minnesota Meat Processor and Retailer for Sale!  Asking $750k Including Real Estate!  Revenue: $735k with Seller Financing Available! (Retail) in Minnesota is listed at $200,000 with $83,684 in annual cash flow (SDE) and $735,206 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $83,684 meets our minimum threshold; DSCR of 3.30x at 20% down is comfortable — well above the SBA minimum; cash-on-cash return of 146% at 20% down is excellent. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner; seller is retiring — transition plan and key-person risk should be investigated. Bottom line: Marginal fit (score 47/100). Proceed only if something specific about this deal appeals beyond the numbers.","Meat retailer located in Central Minnesota specializing in producing fresh, high-quality meat products. Situated on nearly 10 acres of prime real estate, this butcher shop offers ample growth and development opportunities. The business asking price is $200,000; real estate is available for $550,000; total asking price is $750,000. Other key features include: •Walk-in/retail orders •Custom and bulk orders •Beef, pork, and venison processing •Slaughtering capabilities Seller Financing is available to a qualified buyer. Sunbelt Listing ID: 55208 Interested buyers must be able to demonstrate minimum available capital of $675,000 &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",2,3,3,1,1,1,2,1,2026-04-06T18:40:34.589571,True,sunbelt,False
55209,Fine Art Restoration and Custom Framing Company,https://www.sunbeltmidwest.com/complete-search-listing/?id_number=55209,Service,Minnesota,225000.0,"$225,000",69038.0,203469.0,,22500.0,2676.05,32112.6,36925.4,1.6411,2.15,0.61,45000.0,2378.71,28544.52,40493.48,0.8999,2.42,1.11,22500.0,434.99,5219.88,36925.4,31705.52,1.85,47,REVIEW,No,"low CF $69,038; DSCR 2.42; CoC 90%; no heavy inventory; operationally simple; durable industry; Twin Cities area",False,20+ years,No,Retirement,,Mike Minor,"Fine Art Restoration and Custom Framing Company (Service) in Minnesota is listed at $225,000 with $69,038 in annual cash flow (SDE) and $203,469 in gross revenue, 20+ years years in operation. What's attractive: DSCR of 2.42x at 20% down is comfortable — well above the SBA minimum; cash-on-cash return of 90% at 20% down is excellent; the service is considered recession-resistant. Watch-outs: only $40,493 remains after SBA debt at 20% down — limited owner salary buffer; no absentee signals — likely owner-operated and may be dependent on the current owner; seller is retiring — transition plan and key-person risk should be investigated. Bottom line: Marginal fit (score 47/100). Proceed only if something specific about this deal appeals beyond the numbers.","This is a rare opportunity to acquire a well-established, 70-year-old business specializing in high-end custom framing, art and antique frame restoration, and fine art services. Located in a desirable Midwest location with reasonable rent, this business has built a strong national reputation through decades of word-of-mouth referrals, walk-in clientele, and trusted relationships with interior designers, collectors, and art professionals as well as a strong repeat business from existing clients. This opportunity is perfect for someone in the art or interior design industry, or a professional in art restoration looking to add a complementary service line. It’s also ideal for an entrepreneur seeking a turnkey business in the creative space. The current owner is looking to retire but is open to staying on during a transition period to provide training in framing and restoration techniques and ensure continuity with the existing client base. Interested buyers should have $90,000 in available capital for the down payment. &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",3,3,2,2,2,1,2,3,2026-04-06T18:40:34.589587,True,sunbelt,False
55970,Price Reduced! Northern MN Union HVAC business. SBA Financing Available.,https://www.sunbeltmidwest.com/complete-search-listing/?id_number=55970,Construction,Minnesota,400000.0,"$400,000",215910.0,1513956.0,6,40000.0,4757.43,57089.16,158820.84,3.9705,3.78,0.25,80000.0,4228.82,50745.84,165164.16,2.0646,4.25,0.48,40000.0,773.31,9279.72,158820.84,149541.12,3.25,62,REVIEW,No,"decent CF $215,910; DSCR 4.25; CoC 206%; 6 employees; no heavy inventory; durable industry; Twin Cities area",True,20+ years,No,Retirement,Yes,Nick Dunnom & Peggy DeMuse,"Price Reduced! Northern MN Union HVAC business. SBA Financing Available. (Construction) in Minnesota is listed at $400,000 with $215,910 in annual cash flow (SDE) and $1,513,956 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $215,910 is solid; DSCR of 4.25x at 20% down is comfortable — well above the SBA minimum; cash-on-cash return of 206% at 20% down is excellent; the construction is considered recession-resistant; small team of 6 keeps operations lean and manageable; SBA financing is available, lowering the capital barrier to entry. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner; seller is retiring — transition plan and key-person risk should be investigated. Bottom line: Decent opportunity (score 62/100) but not a clear standout. Dig into the financials before committing time.","HVAC business servicing Northern MN. This business is focused on commercial/industrial installations and service. They provide HVAC services to commercial customers and mines in Northern MN. They have a tremendous client base that has been built up over the 50+ years they’ve been in business. Interested buyers should have approximately $80,000 in available capital for the down payment. &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",3,1,3,3,1,1,2,1,2026-04-06T18:40:34.589619,True,sunbelt,False
56183,"Auto Body/Collision Shop W/ Real Estate - Central Minnesota - $234,204 of Cash Flow - $106,300 Down for the Business & Real Estate - SBA",https://www.sunbeltmidwest.com/complete-search-listing/?id_number=56183,Automotive,Minnesota,325000.0,"$325,000",206204.0,1058304.0,3,32500.0,3865.41,46384.92,159819.08,4.9175,4.45,0.2,65000.0,3435.92,41231.04,164972.96,2.538,5.0,0.39,32500.0,628.32,7539.84,159819.08,152279.24,3.82,55,REVIEW,No,"decent CF $206,204; DSCR 5.00; CoC 254%; 3 employees; no heavy inventory; operationally simple; Twin Cities area",False,20+ years,No,Retirement,Yes,Brad Peterson,"Auto Body/Collision Shop W/ Real Estate - Central Minnesota - $234,204 of Cash Flow - $106,300 Down for the Business & Real Estate - SBA (Automotive) in Minnesota is listed at $325,000 with $206,204 in annual cash flow (SDE) and $1,058,304 in gross revenue, 20+ years years in operation. What's attractive: cash flow of $206,204 is solid; DSCR of 5.00x at 20% down is comfortable — well above the SBA minimum; cash-on-cash return of 254% at 20% down is excellent; small team of 3 keeps operations lean and manageable; SBA financing is available, lowering the capital barrier to entry. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner; seller is retiring — transition plan and key-person risk should be investigated. Bottom line: Decent opportunity (score 55/100) but not a clear standout. Dig into the financials before committing time.","This well-established body shop in central Minnesota offers an excellent opportunity for a new owner to step into a thriving business with over 35 years of proven success. Operating from a highly visible and fully equipped facility, the business specializes in collision repair, refinishing, and customer-focused auto body services. $206,204 cash flow from the business and $234,204 cash flow from the business & real estate. Interested buyers should have access to approximately $106,300 in capital for the down payment. &#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",3,2,2,3,1,1,2,1,2026-04-06T18:40:34.589636,True,sunbelt,False
56298,North Metro Commercial Real Estate,https://www.sunbeltmidwest.com/complete-search-listing/?id_number=56298,Real Estate,Minnesota,1500000.0,"$1,500,000",,,,150000.0,17840.35,214084.2,,,,,300000.0,15858.09,190297.08,,,,,,,,,,,0,AUTO-REJECT,No,no cash flow data,False,15+ years,,,,Tony Bodway,"North Metro Commercial Real Estate (Real Estate) in Minnesota is listed at $1,500,000, 15+ years years in operation. No standout strengths were identified from the available data. Watch-outs: no absentee signals — likely owner-operated and may be dependent on the current owner; cash flow data is missing — cannot model returns without seller verification. Bottom line: Auto-rejected — does not meet baseline criteria.","&#916; document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() ); Minneapolis, MN 1300 Godward Street NE, Suite 6000 Minneapolis, MN 55413 P: 612.455.0880 &nbsp;&nbsp;&nbsp;F: 844.273.8181 Sunbelt Minnesota Wisconsin 125 N. Executive Drive, Suite #302 Brookfield, WI 53005 P: 262.901.0086 Sunbelt Wisconsin South Dakota 101 S. Phillips Avenue, Suite 205 Sioux Falls, SD 57104 P: 605.307.6732 Sunbelt South Dakota Chicago 8735 W. Higgins Road, Suite 150 Chicago, IL 60631 P: 773.243.1603 &nbsp;&nbsp;&nbsp;F: 773.243.1618 Sunbelt Chicago Offices are Independently Owned and Operated. ©2024 Sunbelt Business Advisors",2,2,2,1,1,1,2,2,2026-04-06T18:40:34.589649,True,sunbelt,False
